500, 5, 0.261000
500, 10, 0.213000
500, 15, 0.301000
500, 20, 0.564000
500, 25, 0.479000
500, 30, 0.563000
500, 35, 0.613000
500, 40, 0.922000
500, 45, 0.796000
500, 50, 0.966000
1000, 5, 0.775000
1000, 10, 0.944000
1000, 15, 0.965000
1000, 20, 1.107000
1000, 25, 1.248000
1000, 30, 1.412000
1000, 35, 1.633000
1000, 40, 1.929000
1000, 45, 1.838000
1000, 50, 1.997000
1500, 5, 2.506000
1500, 10, 2.285000
1500, 15, 2.429000
1500, 20, 2.724000
1500, 25, 2.706000
1500, 30, 2.626000
1500, 35, 3.084000
1500, 40, 3.369000
1500, 45, 3.384000
1500, 50, 3.893000
2000, 5, 5.252000
2000, 10, 4.588000
2000, 15, 4.632000
2000, 20, 5.648000
2000, 25, 6.881000
2000, 30, 7.893000
2000, 35, 6.806000
2000, 40, 6.167000
2000, 45, 6.021000
2000, 50, 6.527000
