200, 5, 0.048000
200, 10, 0.135000
200, 15, 0.096000
200, 20, 0.127000
400, 5, 0.126000
400, 10, 0.143000
400, 15, 0.223000
400, 20, 0.254000
600, 5, 0.259000
600, 10, 0.632000
600, 15, 0.580000
600, 20, 0.655000
800, 5, 0.795000
800, 10, 0.899000
800, 15, 1.135000
800, 20, 0.685000
1000, 5, 0.742000
1000, 10, 0.885000
1000, 15, 0.947000
1000, 20, 0.924000
1200, 5, 1.198000
1200, 10, 1.313000
1200, 15, 1.369000
1200, 20, 1.585000
1400, 5, 1.742000
1400, 10, 1.462000
1400, 15, 1.561000
1400, 20, 1.827000
